"OSD030bf.Code.or.Value","OSD030bf.Value.Description","OSD030bf.Count","OSD030bf.Cumulative","OSD030bf.Skip.to.Item"
"8","8",1,1,NA
"80","80 or older",0,1,NA
"77777","Refused",0,1,NA
"99999","Don't know",0,1,NA
".","Missing",6217,6218,NA
