"LBX172LA.Code.or.Value","LBX172LA.Value.Description","LBX172LA.Count","LBX172LA.Cumulative","LBX172LA.Skip.to.Item"
"1.3 to 21.1","Range of Values",1901,1901,NA
".","Missing",373,2274,NA
