"DXXPT51X.Code.or.Value","DXXPT51X.Value.Description","DXXPT51X.Count","DXXPT51X.Cumulative","DXXPT51X.Skip.to.Item"
"556.8 to 1138.3","Range of Values",3281,3281,NA
".","Missing",427,3708,NA
