"OHQ490d.Code.or.Value","OHQ490d.Value.Description","OHQ490d.Count","OHQ490d.Cumulative","OHQ490d.Skip.to.Item"
"1","Checked",238,238,NA
"77","Refused",0,238,NA
"99","Don't know",8,246,NA
".","Missing",8601,8847,NA
