"DRDINT.Code.or.Value","DRDINT.Value.Description","DRDINT.Count","DRDINT.Cumulative","DRDINT.Skip.to.Item"
"1","Day 1 only",15673,15673,NA
"2","Day 1 and day 2",115721,131394,NA
".","Missing",0,131394,NA
