"LBXBCD.Code.or.Value","LBXBCD.Value.Description","LBXBCD.Count","LBXBCD.Cumulative","LBXBCD.Skip.to.Item"
"0.07 to 13.03","Range of Values",7513,7513,NA
".","Missing",853,8366,NA
