"OCQ180.Code.or.Value","OCQ180.Value.Description","OCQ180.Count","OCQ180.Cumulative","OCQ180.Skip.to.Item"
"6 to 78","Range of Values",3039,3039,NA
"5","1-5 Hours",49,3088,NA
"80","80 Hours or more",49,3137,NA
"77777","Refused",1,3138,NA
"99999","Don't know",3,3141,NA
".","Missing",3020,6161,NA
