"TYXP155.Code.or.Value","TYXP155.Value.Description","TYXP155.Count","TYXP155.Cumulative","TYXP155.Skip.to.Item"
"-299 to 14","Range of Values",5782,5782,NA
".","Missing",2687,8469,NA
