"LBC052LA.Code.or.Value","LBC052LA.Value.Description","LBC052LA.Count","LBC052LA.Cumulative","LBC052LA.Skip.to.Item"
"0.1 to 1.7","Range of Values",264,264,NA
".","Missing",0,264,NA
