"OHAPOS.Code.or.Value","OHAPOS.Value.Description","OHAPOS.Count","OHAPOS.Cumulative","OHAPOS.Skip.to.Item"
"1","Yes",8301,8301,NA
"2","No",272,8573,NA
".","Missing",849,9422,NA
