"AUXRR105.Code.or.Value","AUXRR105.Value.Description","AUXRR105.Count","AUXRR105.Cumulative","AUXRR105.Skip.to.Item"
"-53 to 98","Range of Values",3836,3836,NA
".","Missing",664,4500,NA
