"FSQ695.Code.or.Value","FSQ695.Value.Description","FSQ695.Count","FSQ695.Cumulative","FSQ695.Skip.to.Item"
"0 to 9","Range of Values",1599,1599,NA
"77","Refused",0,1599,NA
"99","Don't know",51,1650,NA
".","Missing",8499,10149,NA
