"DRD370KQ.Code.or.Value","DRD370KQ.Value.Description","DRD370KQ.Count","DRD370KQ.Cumulative","DRD370KQ.Skip.to.Item"
"1 to 15","Range of Values",151,151,NA
".","Missing",10102,10253,NA
