"LBXVD3MS.Code.or.Value","LBXVD3MS.Value.Description","LBXVD3MS.Count","LBXVD3MS.Cumulative","LBXVD3MS.Skip.to.Item"
"5.21 to 373.67","Range of Values",7743,7743,NA
".","Missing",1213,8956,NA
