"AUXRR141.Code.or.Value","AUXRR141.Value.Description","AUXRR141.Count","AUXRR141.Cumulative","AUXRR141.Skip.to.Item"
"-35 to 42","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
