"OSQ120c.Code.or.Value","OSQ120c.Value.Description","OSQ120c.Count","OSQ120c.Cumulative","OSQ120c.Skip.to.Item"
"1","Yes",46,46,""
"2","No",61,107,"OSQ060"
"7","Refused",0,107,"OSQ060"
"9","Don't know",0,107,"OSQ060"
".","Missing",5828,5935,""
