"AUXR1K2L.Code.or.Value","AUXR1K2L.Value.Description","AUXR1K2L.Count","AUXR1K2L.Cumulative","AUXR1K2L.Skip.to.Item"
"20 to 80","Range of Values",3,3,NA
"666","No response",0,3,NA
"888","Could not obtain",0,3,NA
".","Missing",2365,2368,NA
