"URDCYMLC.Code.or.Value","URDCYMLC.Value.Description","URDCYMLC.Count","URDCYMLC.Cumulative","URDCYMLC.Skip.to.Item"
"0","At or above the detection limit",2870,2870,NA
"1","Below lower detection limit",299,3169,NA
".","Missing",148,3317,NA
