"CIQDPC.Code.or.Value","CIQDPC.Value.Description","CIQDPC.Count","CIQDPC.Cumulative","CIQDPC.Skip.to.Item"
"1","Yes",8,8,""
"2","No",49,57,"CIDDPRB"
"7","Refuse",0,57,"CIDDPRB"
"9","Don't know",0,57,"CIDDPRB"
".","Missing",871,928,""
