"DBQ760.Code.or.Value","DBQ760.Value.Description","DBQ760.Count","DBQ760.Cumulative","DBQ760.Skip.to.Item"
"1","Always",224,224,NA
"2","Most of the time",352,576,NA
"3","Sometimes",535,1111,NA
"4","Rarely",355,1466,NA
"5","Never",198,1664,NA
"6","Never seen",0,1664,NA
"7","Refused",0,1664,NA
"9","Don't know",0,1664,NA
".","Missing",381,2045,NA
