"DIQ060U.Code.or.Value","DIQ060U.Value.Description","DIQ060U.Count","DIQ060U.Cumulative","DIQ060U.Skip.to.Item"
"1","Months",14,14,NA
"2","Years",129,143,NA
"7","Refused",0,143,NA
"9","Don't know",0,143,NA
".","Missing",9502,9645,NA
