"DXXBICDE.Code.or.Value","DXXBICDE.Value.Description","DXXBICDE.Count","DXXBICDE.Cumulative","DXXBICDE.Skip.to.Item"
"-0.016 to 0.477","Range of Values",3295,3295,NA
".","Missing",413,3708,NA
