"HIQ011.Code.or.Value","HIQ011.Value.Description","HIQ011.Count","HIQ011.Cumulative","HIQ011.Skip.to.Item"
"1","Yes",8640,8640,""
"2","No",1312,9952,"HIQ065"
"7","Refused",4,9956,"HIQ065"
"9","Don't know",15,9971,"HIQ065"
".","Missing",0,9971,""
