"DR2TSODI.Code.or.Value","DR2TSODI.Value.Description","DR2TSODI.Count","DR2TSODI.Cumulative","DR2TSODI.Skip.to.Item"
"19 to 18372","Range of Values",8264,8264,NA
".","Missing",1686,9950,NA
