"WBXA087.Code.or.Value","WBXA087.Value.Description","WBXA087.Count","WBXA087.Cumulative","WBXA087.Skip.to.Item"
"-13.1801 to 0.9988","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
