"URXUSN.Code.or.Value","URXUSN.Value.Description","URXUSN.Count","URXUSN.Cumulative","URXUSN.Skip.to.Item"
"0.064 to 86.39","Range of Values",2372,2372,NA
".","Missing",90,2462,NA
