"URXNO3.Code.or.Value","URXNO3.Value.Description","URXNO3.Count","URXNO3.Cumulative","URXNO3.Skip.to.Item"
"495 to 610000","Range of Values",2356,2356,NA
".","Missing",106,2462,NA
