"URDP04LC.Code.or.Value","URDP04LC.Value.Description","URDP04LC.Count","URDP04LC.Cumulative","URDP04LC.Skip.to.Item"
"0","At or above the detection limit",2492,2492,NA
"1","Below lower detection limit",0,2492,NA
".","Missing",102,2594,NA
