"DXXIPY.Code.or.Value","DXXIPY.Value.Description","DXXIPY.Count","DXXIPY.Cumulative","DXXIPY.Skip.to.Item"
"108.6 to 396.2","Range of Values",3295,3295,NA
".","Missing",413,3708,NA
