"DRD350K.Code.or.Value","DRD350K.Value.Description","DRD350K.Count","DRD350K.Cumulative","DRD350K.Skip.to.Item"
"1","Yes",0,0,NA
"2","No",4209,4209,NA
".","Missing",5741,9950,NA
