"KIQ026.Code.or.Value","KIQ026.Value.Description","KIQ026.Count","KIQ026.Cumulative","KIQ026.Skip.to.Item"
"1","Yes",535,535,""
"2","No",5223,5758,"KIQ005"
"7","Refused",0,5758,"KIQ005"
"9","Don't know",11,5769,"KIQ005"
".","Missing",0,5769,""
