"SLQ300.Code.or.Value","SLQ300.Value.Description","SLQ300.Count","SLQ300.Cumulative","SLQ300.Skip.to.Item"
"Usual sleep time on weekdays or workdays","Value was recorded",6303,6303,NA
"77777","Refused",0,6303,NA
"99999","Don't know",20,6323,NA
"< blank >","Missing",4,6327,NA
