"DR2TP204.Code.or.Value","DR2TP204.Value.Description","DR2TP204.Count","DR2TP204.Cumulative","DR2TP204.Skip.to.Item"
"0 to 1.854","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
