"LBDGLYLC.Code.or.Value","LBDGLYLC.Value.Description","LBDGLYLC.Count","LBDGLYLC.Cumulative","LBDGLYLC.Skip.to.Item"
"0","detectable result",2318,2318,NA
"1","below detectable limit",0,2318,NA
".","Missing",437,2755,NA
