"OSD110e.Code.or.Value","OSD110e.Value.Description","OSD110e.Count","OSD110e.Cumulative","OSD110e.Skip.to.Item"
"30 to 73","Range of Values",3,3,NA
"80","80 or older",0,3,NA
"777","Refused",0,3,NA
"999","Don't know",0,3,NA
".","Missing",3812,3815,NA
