"AUXU1K2R.Code.or.Value","AUXU1K2R.Value.Description","AUXU1K2R.Count","AUXU1K2R.Cumulative","AUXU1K2R.Skip.to.Item"
"-10 to 90","Range of Values",1682,1682,NA
"666","No response",0,1682,NA
"888","Could not obtain",0,1682,NA
".","Missing",125,1807,NA
