"BPXPLS.Code.or.Value","BPXPLS.Value.Description","BPXPLS.Count","BPXPLS.Cumulative","BPXPLS.Skip.to.Item"
"40 to 180","Range of Values",7549,7549,NA
".","Missing",2264,9813,NA
