"LBCBR4.Code.or.Value","LBCBR4.Value.Description","LBCBR4.Count","LBCBR4.Cumulative","LBCBR4.Skip.to.Item"
"1.8 to 31.2","Range of Values",264,264,NA
".","Missing",0,264,NA
