"URDMTOLC.Code.or.Value","URDMTOLC.Value.Description","URDMTOLC.Count","URDMTOLC.Cumulative","URDMTOLC.Skip.to.Item"
"0","At or above the detection limit",18,18,NA
"1","Below lower detection limit",2437,2455,NA
".","Missing",157,2612,NA
