"URXMC1.Code.or.Value","URXMC1.Value.Description","URXMC1.Count","URXMC1.Cumulative","URXMC1.Skip.to.Item"
"0.14 to 299.2","Range of Values",2548,2548,NA
".","Missing",90,2638,NA
