"URXCYM.Code.or.Value","URXCYM.Value.Description","URXCYM.Count","URXCYM.Cumulative","URXCYM.Skip.to.Item"
"0.354 to 1640","Range of Values",2576,2576,NA
".","Missing",179,2755,NA
