"DRDINT.Code.or.Value","DRDINT.Value.Description","DRDINT.Count","DRDINT.Cumulative","DRDINT.Skip.to.Item"
"1","Day 1 only",521,521,NA
"2","Day 1 and day 2",5202,5723,NA
".","Missing",0,5723,NA
