"LBXPFOS.Code.or.Value","LBXPFOS.Value.Description","LBXPFOS.Count","LBXPFOS.Cumulative","LBXPFOS.Skip.to.Item"
"0.14 to 253","Range of Values",2100,2100,NA
".","Missing",194,2294,NA
