"FSD146.Code.or.Value","FSD146.Value.Description","FSD146.Count","FSD146.Cumulative","FSD146.Skip.to.Item"
"1","Yes",19,19,NA
"2","No",1116,1135,NA
"7","Refused",0,1135,NA
"9","Don't know",0,1135,NA
".","Missing",8621,9756,NA
