"MCQ160C.Code.or.Value","MCQ160C.Value.Description","MCQ160C.Count","MCQ160C.Cumulative","MCQ160C.Skip.to.Item"
"1","Yes",200,200,"MCQ180C"
"2","No",4753,4953,""
"7","Refused",0,4953,""
"9","Don't know",26,4979,""
".","Missing",4843,9822,""
