"DR1IVK.Code.or.Value","DR1IVK.Value.Description","DR1IVK.Count","DR1IVK.Cumulative","DR1IVK.Skip.to.Item"
"0 to 2111.4","Range of Values",144880,144880,NA
".","Missing",823,145703,NA
