"LBXIGE.Code.or.Value","LBXIGE.Value.Description","LBXIGE.Count","LBXIGE.Cumulative","LBXIGE.Skip.to.Item"
"1.41 to 16148","Range of Values",8336,8336,NA
".","Missing",1104,9440,NA
