"RFXC001.Code.or.Value","RFXC001.Value.Description","RFXC001.Count","RFXC001.Cumulative","RFXC001.Skip.to.Item"
"-0.99 to 1.672","Range of Values",33721,33721,NA
".","Missing",0,33721,NA
