"DXXIAX.Code.or.Value","DXXIAX.Value.Description","DXXIAX.Count","DXXIAX.Cumulative","DXXIAX.Skip.to.Item"
"323 to 964.8","Range of Values",3295,3295,NA
".","Missing",413,3708,NA
