"PFQ049.Code.or.Value","PFQ049.Value.Description","PFQ049.Count","PFQ049.Cumulative","PFQ049.Skip.to.Item"
"1","Yes",867,867,NA
"2","No",4850,5717,NA
"7","Refused",0,5717,NA
"9","Don't know",2,5719,NA
".","Missing",3272,8991,NA
