"WTSPH23.Code.or.Value","WTSPH23.Value.Description","WTSPH23.Count","WTSPH23.Cumulative","WTSPH23.Skip.to.Item"
"0 to 777601.80666","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
