"URDUABLC.Code.or.Value","URDUABLC.Value.Description","URDUABLC.Count","URDUABLC.Cumulative","URDUABLC.Skip.to.Item"
"0","At or above the detection limit",1140,1140,NA
"1","Below lower detection limit",1377,2517,NA
".","Missing",77,2594,NA
