"AUDTYR61.Code.or.Value","AUDTYR61.Value.Description","AUDTYR61.Count","AUDTYR61.Cumulative","AUDTYR61.Skip.to.Item"
"0 to 2.13","Range of Values",1682,1682,NA
".","Missing",125,1807,NA
