"LBDMIRLC.Code.or.Value","LBDMIRLC.Value.Description","LBDMIRLC.Count","LBDMIRLC.Cumulative","LBDMIRLC.Skip.to.Item"
"0","At or above the detection limit",695,695,NA
"1","Below lower detection limit",1256,1951,NA
".","Missing",386,2337,NA
