"LBDHDD.Code.or.Value","LBDHDD.Value.Description","LBDHDD.Count","LBDHDD.Cumulative","LBDHDD.Skip.to.Item"
"10 to 189","Range of Values",6738,6738,NA
".","Missing",697,7435,NA
