"DS1IPOTA.Code.or.Value","DS1IPOTA.Value.Description","DS1IPOTA.Count","DS1IPOTA.Cumulative","DS1IPOTA.Skip.to.Item"
"0.00969 to 3120","Range of Values",1070,1070,NA
".","Missing",4836,5906,NA
