"LBD066LC.Code.or.Value","LBD066LC.Value.Description","LBD066LC.Count","LBD066LC.Cumulative","LBD066LC.Skip.to.Item"
"0","At or above the detection limit",206,206,NA
"1","Below lower detection limit",41,247,NA
".","Missing",0,247,NA
