"DSDMTCH.Code.or.Value","DSDMTCH.Value.Description","DSDMTCH.Count","DSDMTCH.Cumulative","DSDMTCH.Skip.to.Item"
"1","Exact or near exact match",3949,3949,NA
"2","Probable match",723,4672,NA
"3","Generic match",2157,6829,NA
"4","Reasonable match",1141,7970,NA
"5","Default match",996,8966,NA
"6","No match",119,9085,NA
"7","Refused",4,9089,NA
"9","Don't know",28,9117,NA
".","Missing",0,9117,NA
