"LBDBR2LC.Code.or.Value","LBDBR2LC.Value.Description","LBDBR2LC.Count","LBDBR2LC.Cumulative","LBDBR2LC.Skip.to.Item"
"0","At or above the detection limit",284,284,NA
"1","Below lower detection limit",0,284,NA
".","Missing",0,284,NA
