"WTDR4YR.Code.or.Value","WTDR4YR.Value.Description","WTDR4YR.Count","WTDR4YR.Cumulative","WTDR4YR.Skip.to.Item"
"369.94559902 to 200052.31063","Range of Values",8730,8730,NA
".","Missing",552,9282,NA
