"OPXSF2.Code.or.Value","OPXSF2.Value.Description","OPXSF2.Count","OPXSF2.Cumulative","OPXSF2.Skip.to.Item"
"0","Absent",63,63,NA
"2","Present",3261,3324,NA
".","Missing",539,3863,NA
