"CSQ204.Code.or.Value","CSQ204.Value.Description","CSQ204.Count","CSQ204.Cumulative","CSQ204.Skip.to.Item"
"1","Yes",924,924,NA
"2","No",2676,3600,NA
"7","Refused",1,3601,NA
"9","Don't know",2,3603,NA
".","Missing",0,3603,NA
