"DR2IM161.Code.or.Value","DR2IM161.Value.Description","DR2IM161.Count","DR2IM161.Cumulative","DR2IM161.Skip.to.Item"
"0 to 5.867","Range of Values",99780,99780,NA
".","Missing",900,100680,NA
