"LBCBHC.Code.or.Value","LBCBHC.Value.Description","LBCBHC.Count","LBCBHC.Cumulative","LBCBHC.Skip.to.Item"
"3.536 to 5648","Range of Values",281,281,NA
".","Missing",3,284,NA
